iter	Logloss
0	0.6889965884
1	0.6861594959
2	0.6816181764
3	0.6801918267
4	0.6778858899
5	0.6745295596
6	0.6715186611
7	0.66872178
8	0.6674963385
9	0.665746646
10	0.6639834844
11	0.6608233734
12	0.6583264649
13	0.6552463739
14	0.6537818666
15	0.6522210741
16	0.6503064393
17	0.6483202608
18	0.6471506692
19	0.6455454511
20	0.6447962529
21	0.6429742733
22	0.6413222723
23	0.6407637805
24	0.6387979391
25	0.6376494016
26	0.6366851437
27	0.6351196
28	0.6342430638
29	0.6334955059
30	0.6332485728
31	0.6327122206
32	0.6316327395
33	0.6303905152
34	0.6298417037
35	0.6286528634
36	0.6269546318
37	0.6253705041
38	0.624540563
39	0.6237742116
40	0.6227725292
41	0.622007069
42	0.6210436477
43	0.619703437
44	0.6190466696
45	0.6181535517
46	0.6172477811
47	0.6157652785
48	0.6154038892
49	0.6148441788
50	0.6138631409
51	0.6131333177
52	0.6127214408
53	0.6123887718
54	0.6117728509
55	0.6112317131
56	0.6108277486
57	0.6100654037
58	0.6094563354
59	0.609229355
60	0.6090907436
61	0.6081621789
62	0.6076360229
63	0.6073299879
64	0.6063086754
65	0.6057216041
66	0.6053376836
67	0.6051875894
68	0.6047286813
69	0.6045439295
70	0.6039461452
71	0.6034396965
72	0.603174683
73	0.6025058356
74	0.6020226404
75	0.6017257062
76	0.6015424304
77	0.6012521312
78	0.6007844742
79	0.6003263103
80	0.5999416641
81	0.5992924129
82	0.5986405652
83	0.5982728078
84	0.5978969938
85	0.5976257842
86	0.5972848619
87	0.5968605099
88	0.5964248413
89	0.596393813
90	0.5959742598
91	0.59573688
92	0.5955095224
93	0.5950031756
94	0.5949748306
95	0.5945505042
96	0.5937893472
97	0.593491436
98	0.5931532828
99	0.5927369074
