iter	Passed	Remaining
0	179	17776
1	217	10646
2	255	8252
3	289	6954
4	323	6155
5	357	5602
6	395	5250
7	429	4943
8	462	4674
9	497	4475
10	534	4325
11	571	4191
12	613	4102
13	653	4016
14	746	4230
15	778	4088
16	811	3963
17	845	3852
18	876	3737
19	910	3643
20	943	3550
21	973	3449
22	1009	3378
23	1039	3292
24	1074	3222
25	1105	3146
26	1140	3084
27	1173	3018
28	1204	2949
29	1238	2889
30	1268	2823
31	1299	2762
32	1335	2710
33	1374	2668
34	1407	2613
35	1443	2566
36	1477	2516
37	1514	2470
38	1550	2424
39	1584	2376
40	1617	2327
41	1653	2283
42	1690	2240
43	1726	2197
44	1764	2156
45	1798	2111
46	1837	2071
47	1874	2031
48	1910	1988
49	1948	1948
50	1986	1908
51	2023	1867
52	2055	1822
53	2085	1776
54	2118	1733
55	2153	1692
56	2188	1651
57	2223	1609
58	2257	1568
59	2294	1529
60	2325	1486
61	2375	1455
62	2414	1417
63	2446	1376
64	2480	1335
65	2511	1293
66	2543	1252
67	2570	1209
68	2605	1170
69	2637	1130
70	2674	1092
71	2717	1056
72	2753	1018
73	2796	982
74	2834	944
75	2881	909
76	2916	871
77	2966	836
78	3020	802
79	3062	765
80	3096	726
81	3132	687
82	3167	648
83	3202	610
84	3238	571
85	3273	532
86	3303	493
87	3341	455
88	3385	418
89	3423	380
90	3466	342
91	3502	304
92	3536	266
93	3575	228
94	3595	189
95	3631	151
96	3665	113
97	3700	75
98	3733	37
99	3768	0
